Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free
2023-2025,ARLINGTON CENTRAL SCHOOL DISTRICT,BEEKMAN SCHOOL,Dutchess,Public School,131601060002,https://www.arlingtonschools.org/Page/411,54.0,0.0,54.0,0.0,No,48,6,Yes,Yes,Ongoing,201 LIME RIDGE RD,POUGHQUAG,NY,12570,04/30/2025,,,BEEKMAN SCHOOL,,81.0,376.0,0.2154255319148936
2023-2025,ARLINGTON CENTRAL SCHOOL DISTRICT,JOSEPH D'AQUANNI WEST RD INTERMEDIATE SCHOOL,Dutchess,Public School,131601060010,https://www.arlingtonschools.org/Page/411,53.0,0.0,53.0,0.0,No,48,5,Yes,Yes,Ongoing,181 WEST RD,PLEASANT VALLEY,NY,12569,04/30/2025,,,JOSEPH D'AQUANNI WEST RD INTERMEDIATE SCHOOL,,120.0,327.0,0.3669724770642202
2023-2025,ARLINGTON CENTRAL SCHOOL DISTRICT,LAGRANGE MS,Dutchess,Public School,131601060012,https://www.arlingtonschools.org/Page/411,34.0,0.0,34.0,0.0,Yes,34,0,Yes,,Complete,110 STRINGHAM RD,LAGRANGEVILLE,NY,12540,02/07/2025,,,LAGRANGE,,357.0,831.0,0.4296028880866426
2023-2025,ARLINGTON CENTRAL SCHOOL DISTRICT,NOXON ROAD ES,Dutchess,Public School,131601060011,https://www.arlingtonschools.org/Page/411,55.0,0.0,55.0,0.0,No,55,0,Yes,Yes,Complete,4 OLD NOXON RD,POUGHKEEPSIE,NY,12603,04/30/2025,,,NOXON ROAD,,60.0,352.0,0.1704545454545454
2023-2025,ARLINGTON CENTRAL SCHOOL DISTRICT,OVERLOOK PRIMARY SCHOOL,Dutchess,Public School,131601060004,https://www.arlingtonschools.org/Page/411,51.0,0.0,51.0,0.0,No,44,7,Yes,Yes,Ongoing,11 MAPLEVIEW RD EXTENSION,POUGHKEEPSIE,NY,12603,04/30/2025,,,OVERLOOK  SCHOOL,,115.0,383.0,0.3002610966057441
2023-2025,ARLINGTON CENTRAL SCHOOL DISTRICT,TITUSVILLE INTERMEDIATE,Dutchess,Public School,131601060013,https://www.arlingtonschools.org/Page/411,19.0,0.0,19.0,0.0,Yes,19,0,Yes,,Complete,128 MEADOW LN,POUGHKEEPSIE,NY,12603,02/07/2025,,,TITUSVILLE INTERMEDIATE,,143.0,410.0,0.348780487804878
2023-2025,ARLINGTON CENTRAL SCHOOL DISTRICT,TRAVER ROAD PRIMARY SCHOOL,Dutchess,Public School,131601060005,https://www.arlingtonschools.org/Page/411,14.0,0.0,14.0,0.0,No,14,0,Yes,Yes,Complete,801 TRAVER RD,PLEASANT VALLEY,NY,12569,04/30/2025,,,TRAVER ROAD  SCHOOL,,87.0,345.0,0.2521739130434782
2023-2025,ARLINGTON CENTRAL SCHOOL DISTRICT,UNION VALE MIDDLE SCHOOL,Dutchess,Public School,131601060015,https://www.arlingtonschools.org/Page/411,14.0,0.0,14.0,0.0,Yes,14,0,Yes,,Complete,1657 E NOXON RD,LAGRANGEVILLE,NY,12540,02/07/2025,,,UNION VALE MIDDLE SCHOOL,,235.0,958.0,0.2453027139874739
2023-2025,ARLINGTON CENTRAL SCHOOL DISTRICT,VAIL FARM ELEMENTARY SCHOOL,Dutchess,Public School,131601060014,https://www.arlingtonschools.org/Page/411,64.0,0.0,64.0,0.0,No,63,1,Yes,Yes,Ongoing,1659 E NOXON RD,LAGRANGEVILLE,NY,12540,02/07/2025,,,VAIL FARM ELEMENTARY SCHOOL,,154.0,658.0,0.2340425531914893
2023-2025,AVERILL PARK CENTRAL SCHOOL,MILLER HILL SAND LAKE SCHOOL,Rensselaer,Public School,491302060001,averillpark.k12.ny.us,51.0,0.0,10.0,51.0,Yes,51,0,Yes,,Complete,8439 MILLER HILL RD,AVERILL PARK,NY,12018,07/30/2025,,,MILLER HILL SAND LAKE SCHOOL,,116.0,365.0,0.3178082191780822
2023-2025,AVERILL PARK CENTRAL SCHOOL,WEST SAND LAKE ES,Rensselaer,Public School,491302060005,averillpark.k12.ny.us,44.0,0.0,10.0,44.0,Yes,44,0,Yes,Yes,Complete,24 MEELER RD,WEST SAND LAKE,NY,12196,08/06/2025,,,WEST SAND LAKE,,99.0,392.0,0.2525510204081632
2023-2025,AVOCA CENTRAL SCHOOL,AVOCA CENTRAL SCHOOL,Steuben,Public School,570201040002,https://www.avocacsd.org/domain/114,98.0,98.0,0.0,0.0,Yes,96,2,Yes,Yes,Complete,OLIVER ST,AVOCA,NY,14809,09/22/2023,,,AVOCA CENTRAL SCHOOL,,218.0,382.0,0.5706806282722513
2023-2025,BABYLON UNION FREE SCHOOL,BABYLON ELEM SCHOOL,Suffolk,Public School,580101030003,http://www.babylon.k12.ny.us/,59.0,47.0,0.0,0.0,No,46,1,Yes,Yes,Ongoing,171 RALPH AVE,BABYLON,NY,11702,07/11/2023,,,BABYLON  SCHOOL,,33.0,365.0,0.0904109589041095
2023-2025,BABYLON UNION FREE SCHOOL,BABYLON J S H S,Suffolk,Public School,580101030002,http://www.babylon.k12.ny.us/,71.0,69.0,0.0,0.0,No,61,8,Yes,Yes,Ongoing,50 RAILROAD AVE,BABYLON,NY,11702,07/11/2023,,,BABYLON S,,136.0,690.0,0.1971014492753623
2023-2025,BABYLON UNION FREE SCHOOL,BABYLON MEMORIAL GRADE SCHOOL,Suffolk,Public School,580101030001,http://www.babylon.k12.ny.us/,53.0,53.0,,,Yes,40,13,Yes,Yes,Ongoing,169 PARK AVE,BABYLON,NY,11702,07/11/2023,,,BABYLON MEMORIAL GRADE SCHOOL,,74.0,473.0,0.1564482029598308
2023-2025,BAINBRIDGE GUILFORD CENTRAL SCHOOL DISTRICT,BAINBRIDGE GUILFORD JSHS,Chenango,Public School,80201040001,www.bgcsd.org,19.0,0.0,19.0,0.0,Yes,19,0,Yes,Yes,Complete,18 JULIAND ST,BAINBRIDGE,NY,13733,12/18/2024,,,BAINBRIDGE GUILFORD JSHS,,162.0,350.0,0.4628571428571428
2023-2025,BAINBRIDGE GUILFORD CENTRAL SCHOOL DISTRICT,GREENLAWN ES,Chenango,Public School,80201040002,www.bgcsd.org,11.0,0.0,11.0,0.0,Yes,11,0,Yes,,Complete,43 GREENLAWN AVE,BAINBRIDGE,NY,13733,12/18/2024,,,GREENLAWN,,145.0,281.0,0.5160142348754448
2023-2025,BAINBRIDGE GUILFORD CENTRAL SCHOOL DISTRICT,GUILFORD ES,Chenango,Public School,80201040003,www.bgcsd.org,7.0,0.0,7.0,0.0,Yes,7,0,Yes,,Complete,138 SCHOOL ST,GUILFORD,NY,13780,12/18/2024,,,GUILFORD,,162.0,350.0,0.4628571428571428
2023-2025,BALDWIN UNION FREE SCHOOL,(LEAD ONLY) HASTINGS SCHOOL ADMIN,Nassau,Public School,280210030002,https://www.baldwinschools.org/,11.0,0.0,11.0,0.0,Yes,7,4,Yes,Yes,Ongoing,960 HASTINGS STREET,BALDWIN,NY,11510,07/24/2024,,,HASTINGS SCHOOL ADMIN,,,,
2023-2025,BALDWIN UNION FREE SCHOOL,(LEAD ONLY) MILBURN SCHOOL,Nassau,Public School,280210030006,https://www.baldwinschools.org/,2.0,,2.0,,Yes,1,1,Yes,Yes,Ongoing,2501 MILBURN AVENUE,BALDWIN,NY,11510,07/24/2024,,,MILBURN SCHOOL,,,,
2023-2025,BALDWIN UNION FREE SCHOOL,(LEAD ONLY) SHUBERT SCHOOL,Nassau,Public School,280210030010,https://www.baldwinschools.org/,10.0,,10.0,,Yes,10,0,Yes,,Complete,835 DEMOTT AVENUE,BALDWIN,NY,11510,07/24/2024,,,SHUBERT SCHOOL,,,,
2023-2025,BALDWIN UNION FREE SCHOOL,BALDWIN MIDDLE SCHOOL,Nassau,Public School,280210030012,https://www.baldwinschools.org/,67.0,,67.0,,Yes,48,19,Yes,Yes,Ongoing,3211 SCHREIBER PL,BALDWIN,NY,11510,07/24/2024,,,BALDWIN MIDDLE SCHOOL,,475.0,999.0,0.4754754754754755
2023-2025,BALDWIN UNION FREE SCHOOL,BALDWIN S H S,Nassau,Public School,280210030009,https://www.baldwinschools.org/,57.0,,57.0,,Yes,45,12,Yes,Yes,Ongoing,841 ETHEL T KLOBERG DR,BALDWIN,NY,11510,07/24/2024,,,BALDWIN S,,475.0,999.0,0.4754754754754755
2023-2025,BALDWIN UNION FREE SCHOOL,BROOKSIDE ELEM SCHOOL,Nassau,Public School,280210030001,https://www.baldwinschools.org/,6.0,0.0,6.0,0.0,Yes,6,0,Yes,,Complete,940 E STANTON AVE,BALDWIN,NY,11510,07/24/2024,,,BROOKSIDE  SCHOOL,,108.0,234.0,0.4615384615384615
2023-2025,BALDWIN UNION FREE SCHOOL,LENOX ELEMENTARY SCHOOL,Nassau,Public School,280210030004,https://www.baldwinschools.org/,11.0,0.0,11.0,0.0,Yes,9,2,Yes,Yes,Ongoing,551 LENOX RD,BALDWIN,NY,11510,07/24/2024,,,LENOX ELEMENTARY SCHOOL,,107.0,266.0,0.4022556390977443
2023-2025,BALDWIN UNION FREE SCHOOL,MEADOW ELEMENTARY SCHOOL,Nassau,Public School,280210030013,https://www.baldwinschools.org/,29.0,0.0,29.0,0.0,Yes,27,2,Yes,Yes,Ongoing,880 JACKSON ST,BALDWIN,NY,11510,07/24/2024,,,MEADOW ELEMENTARY SCHOOL,,276.0,594.0,0.4646464646464646
2023-2025,BALDWIN UNION FREE SCHOOL,PLAZA ELEM SCHOOL,Nassau,Public School,280210030007,https://www.baldwinschools.org/,17.0,0.0,17.0,0.0,Yes,15,2,Yes,Yes,Ongoing,501 SEAMAN AVE,BALDWIN,NY,11510,07/24/2024,,,PLAZA  SCHOOL,,190.0,426.0,0.4460093896713615
2023-2025,BALDWIN UNION FREE SCHOOL,STEELE ELEMENTARY SCHOOL,Nassau,Public School,280210030011,https://www.baldwinschools.org/,16.0,0.0,16.0,0.0,Yes,15,1,Yes,Yes,Ongoing,860 CHURCH ST,BALDWIN,NY,11510,07/24/2024,,,STEELE ELEMENTARY SCHOOL,,143.0,317.0,0.4511041009463722
2023-2025,BALDWINSVILLE CENTRAL SCHOOL,CATHERINE M MCNAMARA ELEM SCH,Onondaga,Public School,420901060003,www.bville.org,56.0,0.0,0.0,56.0,Yes,47,9,Yes,Yes,Ongoing,7344 OBRIEN RD,BALDWINSVILLE,NY,13027,02/26/2025,,,CATHERINE MCNAMARA  SCH,,140.0,507.0,0.2761341222879684
2023-2025,BALDWINSVILLE CENTRAL SCHOOL,CHARLES W BAKER H S,Onondaga,Public School,420901060007,www.bville.org,76.0,0.0,0.0,76.0,Yes,69,7,Yes,Yes,Ongoing,OSWEGO STREET,BALDWINSVILLE,NY,13027,02/13/2025,,,CHARLES BAKER S,,352.0,1269.0,0.2773837667454689
2023-2025,BALDWINSVILLE CENTRAL SCHOOL,DONALD S. RAY MIDDLE SCHOOL,Onondaga,Public School,420901060009,www.bville.org,28.0,0.0,0.0,28.0,Yes,22,6,Yes,Yes,Ongoing,7650 VAN BUREN RD,BALDWINSVILLE,NY,13027,02/26/2025,,,DONALD S RAY MIDDLE SCHOOL,,259.0,835.0,0.3101796407185628
2023-2025,BALDWINSVILLE CENTRAL SCHOOL,HARRY E ELDEN ELEM SCHOOL,Onondaga,Public School,420901060002,www.bville.org,52.0,0.0,0.0,52.0,Yes,49,3,Yes,Yes,Ongoing,OSWEGO STREET,BALDWINSVILLE,NY,13027,02/12/2025,,,HARRY ELDEN  SCHOOL,,155.0,484.0,0.3202479338842975
2023-2025,BALDWINSVILLE CENTRAL SCHOOL,L PEARL PALMER ELEM SCHOOL,Onondaga,Public School,420901060004,www.bville.org,55.0,0.0,0.0,55.0,Yes,50,5,Yes,Yes,Ongoing,HICKS RD,BALDWINSVILLE,NY,13027,02/26/2025,,,L PEARL PALMER  SCHOOL,,90.0,482.0,0.1867219917012448
2023-2025,BALDWINSVILLE CENTRAL SCHOOL,MAE E REYNOLDS SCHOOL,Onondaga,Public School,420901060008,www.bville.org,60.0,0.0,0.0,60.0,Yes,33,27,Yes,Yes,Ongoing,IDLEWOOD BLVD,BALDWINSVILLE,NY,13027,02/13/2025,,,MAE REYNOLDS SCHOOL,,171.0,510.0,0.3352941176470588
2023-2025,BALDWINSVILLE CENTRAL SCHOOL,THEODORE R DURGEE J H S,Onondaga,Public School,420901060006,www.bville.org,31.0,0.0,0.0,31.0,Yes,26,5,Yes,Yes,Ongoing,29 E ONEIDA ST,BALDWINSVILLE,NY,13027,02/13/2025,,,THEODORE DURGEE S,,249.0,829.0,0.3003618817852834
2023-2025,BALDWINSVILLE CENTRAL SCHOOL,VAN BUREN ELEMENTARY SCHOOL,Onondaga,Public School,420901060005,www.bville.org,46.0,0.0,0.0,46.0,Yes,15,31,Yes,Yes,Ongoing,FORD ST,BALDWINSVILLE,NY,13027,02/13/2025,,,VAN BUREN ELEMENTARY SCHOOL,,154.0,510.0,0.3019607843137254
2023-2025,BATH CENTRAL SCHOOL,DANA LYON MIDDLE SCHOOL,Steuben,Public School,570302060004,bathcsd.org,38.0,0.0,38.0,0.0,Yes,38,0,Yes,Yes,Complete,25 ELLAS AVE,BATH,NY,14810,04/24/2024,,,DANA LYON MIDDLE SCHOOL,,260.0,513.0,0.50682261208577
2023-2025,BATH CENTRAL SCHOOL,HAVERLING J S H S,Steuben,Public School,570302060003,bathcsd.org,46.0,0.0,46.0,0.0,Yes,45,1,Yes,Yes,Ongoing,ELLAS AVE,BATH,NY,14810,04/24/2024,,,HAVERLING S,,201.0,402.0,0.5
2023-2025,BATH CENTRAL SCHOOL,VERNON E WIGHTMAN PRIMARY SCHOOL,Steuben,Public School,570302060001,bathcsd.org,68.0,0.0,68.0,0.0,Yes,68,0,Yes,Yes,Complete,216 MAPLE HEIGHTS,BATH,NY,14810,04/24/2024,,,VERNON WIGHTMAN  SCHOOL,,265.0,501.0,0.5289421157684631
2023-2025,BAY SHORE UNION FREE SCHOOL,BAY SHORE MIDDLE SCHOOL,Suffolk,Public School,580501030007,https://www.bayshore.k12.ny.us/,62.0,0.0,0.0,62.0,Yes,49,13,Yes,Yes,Ongoing,393 BROOK AVE,BAY SHORE,NY,11706,07/03/2025,,,BAY SHORE MIDDLE SCHOOL,,725.0,1269.0,0.5713159968479118
2023-2025,BAY SHORE UNION FREE SCHOOL,BAY SHORE S H S,Suffolk,Public School,580501030006,https://www.bayshore.k12.ny.us/,82.0,0.0,0.0,82.0,Yes,66,16,Yes,Yes,Ongoing,155 THIRD AVE,BAY SHORE,NY,11706,07/03/2025,,,BAY SHORE S,,725.0,1269.0,0.5713159968479118
2023-2025,BAY SHORE UNION FREE SCHOOL,BROOK AVENUE ELEM SCHOOL,Suffolk,Public School,580501030001,https://www.bayshore.k12.ny.us/,20.0,0.0,0.0,20.0,Yes,18,2,Yes,Yes,Ongoing,45 BROOK AVE,BAY SHORE,NY,11706,07/03/2025,,,BROOK AVENUE  SCHOOL,,215.0,388.0,0.5541237113402062
2023-2025,BAY SHORE UNION FREE SCHOOL,FIFTH AVENUE SCHOOL,Suffolk,Public School,580501030004,https://www.bayshore.k12.ny.us/,18.0,0.0,0.0,18.0,Yes,17,1,Yes,Yes,Ongoing,217 FIFTH AVE,BAY SHORE,NY,11706,07/03/2025,,,FIFTH AVENUE SCHOOL,,31.0,377.0,0.0822281167108753
2023-2025,BAY SHORE UNION FREE SCHOOL,GARDINER MANOR SCHOOL,Suffolk,Public School,580501030002,https://www.bayshore.k12.ny.us/,20.0,0.0,0.0,20.0,Yes,18,2,Yes,Yes,Ongoing,125 WOHSEEPEE DR,BAY SHORE,NY,11706,07/03/2025,,,GARDINER MANOR SCHOOL,,392.0,714.0,0.5490196078431373
2023-2025,BAY SHORE UNION FREE SCHOOL,MARY G CLARKSON SCHOOL,Suffolk,Public School,580501030003,https://www.bayshore.k12.ny.us/,19.0,0.0,0.0,19.0,Yes,17,2,Yes,Yes,Ongoing,1415 E THIRD AVE,BAY SHORE,NY,11706,07/03/2025,,,MARY CLARKSON SCHOOL,,258.0,492.0,0.524390243902439
2023-2025,BAY SHORE UNION FREE SCHOOL,SOUTH COUNTRY SCHOOL,Suffolk,Public School,580501030005,https://www.bayshore.k12.ny.us/,20.0,0.0,0.0,20.0,Yes,19,1,Yes,Yes,Ongoing,885 HAMPSHIRE RD,BAY SHORE,NY,11706,07/03/2025,,,SOUTH COUNTRY SCHOOL,,258.0,489.0,0.5276073619631901
