nces_id,school_name,american_indian/alaska_native,asian,black,hispanic,white,native_hawaiian/pacific_islander,two_or_more,total_enrollment,student_teacher_ratio,zip,county,address,free_lunch,reduced_lunch,is_special_ed,is_charter,status
360010206477,30TH AVENUE SCHOOL (THE) (G & T CITYWIDE),4,271,14,62,120,4,37,513.0,19.2100000,11102,Queens County,28-37 29TH ST,130.00000,12.00000,0,0,Open
360007705767,47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),2,13,32,88,36,0,6,177.0,5.8800000,10010,New York County,223 E 23RD ST,137.00000,0.00000,0,0,Open
362343003270,A A GATES ELEMENTARY SCHOOL,0,0,1,6,408,0,25,440.0,13.3100000,13140,Cayuga County,30 MAPLE AVE,191.00000,0.00000,0,0,Open
362367003299,A A KINGSTON MIDDLE SCHOOL,1,10,5,12,310,0,8,346.0,11.3000000,13676,St. Lawrence County,29 LEROY ST,113.00000,5.00000,0,0,Open
360558000286,A D OLIVER MIDDLE SCHOOL,1,7,37,99,539,0,54,738.0,9.8000000,14420,Monroe County,40 ALLEN ST,349.00000,26.00000,0,0,Open
360273000048,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,0,2,6,23,483,1,20,535.0,10.4600000,13865,Broome County,213 MAIN ST,243.00000,19.00000,0,0,Open
361656001462,A J SCHMIDT ELEMENTARY SCHOOL,23,1,2,17,190,0,8,241.0,7.9600000,14006,Erie County,9455 LAKE SHORE RD,129.00000,6.00000,0,0,Open
362778003761,A M COSGROVE MIDDLE SCHOOL,0,10,46,96,647,0,47,846.0,9.9400000,14559,Monroe County,2749 SPENCERPORT RD,277.00000,30.00000,0,0,Open
362019001853,A MACARTHUR BARR MIDDLE SCHOOL,2,94,55,233,242,2,26,654.0,9.8700000,10954,Rockland County,143 CHURCH ST,188.00000,27.00000,0,0,Open
360008304305,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,7,34,456,849,26,4,11,1387.0,16.6500000,10031,New York County,433 W 135TH ST,1231.00000,25.00000,0,0,Open
